happiness_rank,year,country,region,happiness_score,gdp_percapita,life_expectancy,family,freedom,generosity,government_corruption,total_pop,pop_density,age_pop
1,2015,Switzerland,Western Europe,7.587,1.39651,0.94143,1.34951,0.66557,0.29678,0.41978,8283933.999999999,207.1397779555911,41.259268041334
2,2015,Iceland,Western Europe,7.561,1.30232,0.94784,1.40223,0.62877,0.4363,0.14145,330951.5,3.3014923735323163,34.9403918093962
3,2015,Denmark,Western Europe,7.527,1.32548,0.87464,1.36058,0.64938,0.34139,0.48357,5683701.0,134.0685238477143,40.4979988645493
4,2015,Norway,Western Europe,7.522,1.459,0.88521,1.33095,0.66973,0.34699,0.36503,5189771.0,17.05893316153123,38.1764288527212
5,2015,Canada,North America,7.427,1.32629,0.90563,1.32261,0.63297,0.45811,0.32957,35962234.0,3.954715600922724,39.6290380632086
6,2015,Finland,Western Europe,7.406,1.29025,0.88911,1.31826,0.64169,0.23351,0.41372,5479717.5,18.12201740200212,41.456439768941
7,2015,Netherlands,Western Europe,7.378,1.32944,0.89284,1.28017,0.61576,0.4761,0.31814,17107433.0,508.0761783136824,41.2118081433679
8,2015,Sweden,Western Europe,7.364,1.33171,0.91087,1.28907,0.6598,0.36262,0.43844,9799481.5,24.057253154612855,39.9444176641937
9,2015,New Zealand,Australia and New Zealand,7.286,1.25018,0.90837,1.31967,0.63938,0.47501,0.42922,4614029.0,17.41780576286414,36.3873251570844
10,2015,Australia,Australia and New Zealand,7.284,1.33358,0.93156,1.30923,0.65124,0.43562,0.35637,23948002.0,3.1172958619163533,36.2542288721404
11,2015,Israel,Middle East and Northern Africa,7.278,1.22857,0.91387,1.22393,0.41319,0.33172,0.07785,8052908.5,372.0791248902647,28.761189196621
12,2015,Costa Rica,Latin America and Caribbean,7.226,0.95578,0.86027,1.23788,0.63376,0.25497,0.10583,4818038.5,94.36033098315708,30.155025059482
13,2015,Austria,Western Europe,7.2,1.33723,0.89042,1.29704,0.62433,0.33088,0.18676,8644038.5,104.752099516475,41.9973109706317
14,2015,Mexico,Latin America and Caribbean,7.187,1.02054,0.81444,0.91451,0.48181,0.14074,0.21312,121072306.0,61.795293908683334,26.2581118821144
15,2015,United States,North America,7.119,1.39451,0.86179,1.24711,0.54604,0.40105,0.1589,326126496.5,35.651618573323056,36.3866299666407
16,2015,Brazil,Latin America and Caribbean,6.983,0.98124,0.69702,1.23287,0.49049,0.14574,0.17521,201675532.0,24.129235930482142,30.471444119968
17,2015,Luxembourg,Western Europe,6.946,1.56391,0.91894,1.21963,0.61583,0.28034,0.37798,569536.0,219.8980694980695,38.2648455468605
18,2015,Ireland,Western Europe,6.94,1.33596,0.89533,1.36948,0.61777,0.45901,0.28703,4702487.0,68.78299471967469,35.3694070095851
19,2015,Belgium,Western Europe,6.937,1.30782,0.89667,1.28566,0.5845,0.2225,0.2254,11275334.5,372.39363564304114,40.429147585621
20,2015,United Arab Emirates,Middle East and Northern Africa,6.901,1.42727,0.80925,1.12575,0.64157,0.26428,0.38583,8674633.0,122.1366439513404,30.7972901018243
21,2015,United Kingdom,Western Europe,6.867,1.26637,0.90943,1.28548,0.59625,0.51912,0.32067,65382110.0,269.34926526627146,38.7839351614157
22,2015,Oman,Middle East and Northern Africa,6.853,1.36011,0.76276,1.08182,0.63274,0.21542,0.32524,4184895.000000001,13.521470113085623,27.8205422654647
23,2015,"Venezuela, Bolivarian Republic of",Latin America and Caribbean,6.81,1.04424,0.72052,1.25596,0.42908,0.05841,0.11069,30573972.0,33.36149141519677,26.3334743054703
24,2015,Singapore,Southeastern Asia,6.798,1.52186,1.02525,1.02,0.54252,0.31105,0.4921,5525339.5,8089.808931185944,33.3378000161843
25,2015,Panama,Latin America and Caribbean,6.786,1.06353,0.79661,1.1985,0.5421,0.24434,0.0927,3960034.5,53.38628550628901,27.2682463599821
26,2015,Germany,Western Europe,6.75,1.32792,0.89186,1.29937,0.61477,0.28214,0.21843,82077550.5,235.47610310993804,44.8125226267916
27,2015,Chile,Latin America and Caribbean,6.67,1.10715,0.85857,1.12447,0.44132,0.33363,0.12869,18047625.5,23.96909439354861,33.3310943234649
28,2015,Qatar,Middle East and Northern Africa,6.611,1.69042,0.79733,1.0786,0.6404,0.32573,0.52208,2427330.5,209.50548075263248,30.1435289324949
29,2015,France,Western Europe,6.575,1.27778,0.94579,1.26038,0.55011,0.12332,0.20646,64916336.0,117.73429576698466,40.2857678669725
30,2015,Argentina,Latin America and Caribbean,6.574,1.05351,0.78723,1.24823,0.44974,0.11451,0.08484,43477012.0,15.573055472972731,29.8605940337544
