country_id,country_name,region_id
1,Switzerland,1
2,Iceland,1
3,Denmark,1
4,Norway,1
5,Canada,2
6,Finland,1
7,Netherlands,1
8,Sweden,1
9,New Zealand,3
10,Australia,3
11,Israel,4
12,Costa Rica,5
13,Austria,1
14,Mexico,5
15,United States,2
16,Brazil,5
17,Luxembourg,1
18,Ireland,1
19,Belgium,1
20,United Arab Emirates,4
21,United Kingdom,1
22,Oman,4
23,"Venezuela, Bolivarian Republic of",5
24,Singapore,6
25,Panama,5
26,Germany,1
27,Chile,5
28,Qatar,4
29,France,1
30,Argentina,5
31,Czechia,7
32,Uruguay,5
33,Colombia,5
34,Thailand,6
35,Saudi Arabia,4
36,Spain,1
37,Malta,1
38,"Taiwan, Province of China",8
39,Kuwait,4
40,Suriname,5
41,Trinidad and Tobago,5
42,El Salvador,5
43,Guatemala,5
44,Uzbekistan,7
45,Slovakia,7
46,Japan,8
47,"Korea, Republic of",8
48,Ecuador,5
49,Bahrain,4
50,Italy,1
51,"Bolivia, Plurinational State of",5
52,"Moldova, Republic of",7
53,Paraguay,5
54,Kazakhstan,7
55,Slovenia,7
56,Lithuania,7
57,Nicaragua,5
58,Peru,5
59,Belarus,7
60,Poland,7
61,Malaysia,6
62,Croatia,7
63,Libya,4
64,Russia,7
65,Jamaica,5
66,North Cyprus,1
67,Cyprus,1
68,Algeria,4
69,Kosovo,7
70,Turkmenistan,7
71,Mauritius,9
72,Hong Kong,8
73,Estonia,7
74,Indonesia,6
75,Viet Nam,6
76,Turkey,4
77,Kyrgyzstan,7
78,Nigeria,9
79,Bhutan,10
80,Azerbaijan,7
81,Pakistan,10
82,Jordan,4
83,Montenegro,7
84,China,8
85,Zambia,9
86,Romania,7
87,Serbia,7
88,Portugal,1
89,Latvia,7
90,Philippines,6
91,Somaliland region,9
92,Morocco,4
93,Macedonia,7
94,Mozambique,9
95,Albania,7
96,Bosnia and Herzegovina,7
97,Lesotho,9
98,Dominican Republic,5
99,Lao People's Democratic Republic,6
100,Mongolia,8
101,Swaziland,9
102,Greece,1
103,Lebanon,4
104,Hungary,7
105,Honduras,5
106,Tajikistan,7
107,Tunisia,4
108,Palestinian Territories,4
109,Bangladesh,10
110,"Iran, Islamic Republic of",4
111,Ukraine,7
112,Iraq,4
113,South Africa,9
114,Ghana,9
115,Zimbabwe,9
116,Liberia,9
117,India,10
118,Sudan,9
119,Haiti,5
120,Congo (Kinshasa),9
121,Nepal,10
122,Ethiopia,9
123,Sierra Leone,9
124,Mauritania,9
125,Kenya,9
126,Djibouti,9
127,Armenia,7
128,Botswana,9
129,Myanmar,6
130,Georgia,7
131,Malawi,9
132,Sri Lanka,10
133,Cameroon,9
134,Bulgaria,7
135,Egypt,4
136,Yemen,4
137,Angola,9
138,Mali,9
139,Congo (Brazzaville),9
140,Comoros,9
141,Uganda,9
142,Senegal,9
143,Gabon,9
144,Niger,9
145,Cambodia,6
146,"Tanzania, United Republic of",9
147,Madagascar,9
148,Central African Republic,9
149,Chad,9
150,Guinea,9
151,Ivory Coast,9
152,Burkina Faso,9
153,Afghanistan,10
154,Rwanda,9
155,Benin,9
156,Syrian Arab Republic,4
157,Burundi,9
158,Togo,9
159,Puerto Rico,5
160,Belize,5
161,Somalia,9
162,Somaliland Region,9
163,Namibia,9
164,South Sudan,9
165,North Macedonia,7
166,Gambia,9
