happiness_rank,year,country,region,happiness_score,gdp_percapita,life_expectancy,family,freedom,generosity,government_corruption
1,2015,Switzerland,Western Europe,7.587,1.39651,0.94143,1.34951,0.66557,0.29678,0.41978
2,2015,Iceland,Western Europe,7.561,1.30232,0.94784,1.40223,0.62877,0.4363,0.14145
3,2015,Denmark,Western Europe,7.527,1.32548,0.87464,1.36058,0.64938,0.34139,0.48357
4,2015,Norway,Western Europe,7.522,1.459,0.88521,1.33095,0.66973,0.34699,0.36503
5,2015,Canada,North America,7.427,1.32629,0.90563,1.32261,0.63297,0.45811,0.32957
6,2015,Finland,Western Europe,7.406,1.29025,0.88911,1.31826,0.64169,0.23351,0.41372
7,2015,Netherlands,Western Europe,7.378,1.32944,0.89284,1.28017,0.61576,0.4761,0.31814
8,2015,Sweden,Western Europe,7.364,1.33171,0.91087,1.28907,0.6598,0.36262,0.43844
9,2015,New Zealand,Australia and New Zealand,7.286,1.25018,0.90837,1.31967,0.63938,0.47501,0.42922
10,2015,Australia,Australia and New Zealand,7.284,1.33358,0.93156,1.30923,0.65124,0.43562,0.35637
11,2015,Israel,Middle East and Northern Africa,7.278,1.22857,0.91387,1.22393,0.41319,0.33172,0.07785
12,2015,Costa Rica,Latin America and Caribbean,7.226,0.95578,0.86027,1.23788,0.63376,0.25497,0.10583
13,2015,Austria,Western Europe,7.2,1.33723,0.89042,1.29704,0.62433,0.33088,0.18676
14,2015,Mexico,Latin America and Caribbean,7.187,1.02054,0.81444,0.91451,0.48181,0.14074,0.21312
15,2015,United States,North America,7.119,1.39451,0.86179,1.24711,0.54604,0.40105,0.1589
16,2015,Brazil,Latin America and Caribbean,6.983,0.98124,0.69702,1.23287,0.49049,0.14574,0.17521
17,2015,Luxembourg,Western Europe,6.946,1.56391,0.91894,1.21963,0.61583,0.28034,0.37798
18,2015,Ireland,Western Europe,6.94,1.33596,0.89533,1.36948,0.61777,0.45901,0.28703
19,2015,Belgium,Western Europe,6.937,1.30782,0.89667,1.28566,0.5845,0.2225,0.2254
20,2015,United Arab Emirates,Middle East and Northern Africa,6.901,1.42727,0.80925,1.12575,0.64157,0.26428,0.38583
21,2015,United Kingdom,Western Europe,6.867,1.26637,0.90943,1.28548,0.59625,0.51912,0.32067
22,2015,Oman,Middle East and Northern Africa,6.853,1.36011,0.76276,1.08182,0.63274,0.21542,0.32524
23,2015,"Venezuela, Bolivarian Republic of",Latin America and Caribbean,6.81,1.04424,0.72052,1.25596,0.42908,0.05841,0.11069
24,2015,Singapore,Southeastern Asia,6.798,1.52186,1.02525,1.02,0.54252,0.31105,0.4921
25,2015,Panama,Latin America and Caribbean,6.786,1.06353,0.79661,1.1985,0.5421,0.24434,0.0927
26,2015,Germany,Western Europe,6.75,1.32792,0.89186,1.29937,0.61477,0.28214,0.21843
27,2015,Chile,Latin America and Caribbean,6.67,1.10715,0.85857,1.12447,0.44132,0.33363,0.12869
28,2015,Qatar,Middle East and Northern Africa,6.611,1.69042,0.79733,1.0786,0.6404,0.32573,0.52208
29,2015,France,Western Europe,6.575,1.27778,0.94579,1.26038,0.55011,0.12332,0.20646
30,2015,Argentina,Latin America and Caribbean,6.574,1.05351,0.78723,1.24823,0.44974,0.11451,0.08484
31,2015,Czechia,Central and Eastern Europe,6.505,1.17898,0.84483,1.20643,0.46364,0.10686,0.02652
32,2015,Uruguay,Latin America and Caribbean,6.485,1.06166,0.8116,1.2089,0.60362,0.2324,0.24558
33,2015,Colombia,Latin America and Caribbean,6.477,0.91861,0.69077,1.24018,0.53466,0.18401,0.0512
34,2015,Thailand,Southeastern Asia,6.455,0.9669,0.7385,1.26504,0.55664,0.5763,0.03187
35,2015,Saudi Arabia,Middle East and Northern Africa,6.411,1.39541,0.72025,1.08393,0.31048,0.13706,0.32524
36,2015,Spain,Western Europe,6.329,1.23011,0.95562,1.31379,0.45951,0.18227,0.06398
37,2015,Malta,Western Europe,6.302,1.2074,0.88721,1.30203,0.60365,0.51752,0.13586
38,2015,"Taiwan, Province of China",Eastern Asia,6.298,1.29098,0.8753,1.07617,0.3974,0.25376,0.08129
39,2015,Kuwait,Middle East and Northern Africa,6.295,1.55422,0.72492,1.16594,0.55499,0.16228,0.25609
40,2015,Suriname,Latin America and Caribbean,6.269,0.99534,0.6082,0.972,0.59657,0.16991,0.13633
41,2015,Trinidad and Tobago,Latin America and Caribbean,6.168,1.21183,0.61483,1.18354,0.55884,0.31844,0.0114
42,2015,El Salvador,Latin America and Caribbean,6.13,0.76454,0.67737,1.02507,0.4035,0.10692,0.11776
43,2015,Guatemala,Latin America and Caribbean,6.123,0.74553,0.64425,1.04356,0.57733,0.27489,0.09472
44,2015,Uzbekistan,Central and Eastern Europe,6.003,0.63244,0.59772,1.34043,0.65821,0.22837,0.30826
45,2015,Slovakia,Central and Eastern Europe,5.995,1.16891,0.78902,1.26999,0.31751,0.16893,0.03431
46,2015,Japan,Eastern Asia,5.987,1.27074,0.99111,1.25712,0.49615,0.10705,0.1806
47,2015,"Korea, Republic of",Eastern Asia,5.984,1.24461,0.96538,0.95774,0.33208,0.18557,0.07857
48,2015,Ecuador,Latin America and Caribbean,5.975,0.86402,0.79075,0.99903,0.48574,0.11541,0.1809
49,2015,Bahrain,Middle East and Northern Africa,5.96,1.32376,0.74716,1.21624,0.45492,0.17362,0.306
50,2015,Italy,Western Europe,5.948,1.25114,0.95446,1.19777,0.26236,0.22823,0.02901
51,2015,"Bolivia, Plurinational State of",Latin America and Caribbean,5.89,0.68133,0.5392,0.97841,0.57414,0.20536,0.088
52,2015,"Moldova, Republic of",Central and Eastern Europe,5.889,0.59448,0.61826,1.01528,0.32818,0.20951,0.01615
53,2015,Paraguay,Latin America and Caribbean,5.878,0.75985,0.66098,1.30477,0.53899,0.3424,0.08242
54,2015,Kazakhstan,Central and Eastern Europe,5.855,1.12254,0.64368,1.12241,0.51649,0.11827,0.08454
55,2015,Slovenia,Central and Eastern Europe,5.848,1.18498,0.87337,1.27385,0.60855,0.25328,0.03787
56,2015,Lithuania,Central and Eastern Europe,5.833,1.14723,0.73128,1.25745,0.21342,0.02641,0.01031
57,2015,Nicaragua,Latin America and Caribbean,5.828,0.59325,0.74314,1.14184,0.55475,0.27815,0.19317
58,2015,Peru,Latin America and Caribbean,5.824,0.90019,0.73017,0.97459,0.41496,0.14982,0.05989
59,2015,Belarus,Central and Eastern Europe,5.813,1.03192,0.73608,1.23289,0.37938,0.11046,0.1909
60,2015,Poland,Central and Eastern Europe,5.791,1.12555,0.77903,1.27948,0.53122,0.16759,0.04212
61,2015,Malaysia,Southeastern Asia,5.77,1.12486,0.72394,1.07023,0.53024,0.33075,0.10501
62,2015,Croatia,Central and Eastern Europe,5.759,1.08254,0.78805,0.79624,0.25883,0.05444,0.0243
63,2015,Libya,Middle East and Northern Africa,5.754,1.13145,0.7038,1.11862,0.41668,0.18295,0.11023
64,2015,Russia,Central and Eastern Europe,5.716,1.13764,0.66926,1.23617,0.36679,0.00199,0.03005
65,2015,Jamaica,Latin America and Caribbean,5.709,0.81038,0.68741,1.15102,0.50442,0.2123,0.02299
66,2015,North Cyprus,Western Europe,5.695,1.20806,0.92356,1.07008,0.49027,0.26169,0.1428
67,2015,Cyprus,Western Europe,5.689,1.20813,0.92356,0.89318,0.40672,0.30638,0.06146
68,2015,Algeria,Middle East and Northern Africa,5.605,0.93929,0.61766,1.07772,0.28579,0.07822,0.17383
69,2015,Kosovo,Central and Eastern Europe,5.589,0.80148,0.63132,0.81198,0.24749,0.2831,0.04741
70,2015,Turkmenistan,Central and Eastern Europe,5.548,0.95847,0.53886,1.22668,0.4761,0.16979,0.30844
71,2015,Mauritius,Sub-Saharan Africa,5.477,1.00761,0.7095,0.98521,0.56066,0.37744,0.07521
72,2015,Hong Kong,Eastern Asia,5.474,1.38604,1.01328,1.05818,0.59608,0.39478,0.37124
73,2015,Estonia,Central and Eastern Europe,5.429,1.15174,0.77361,1.22791,0.44888,0.0868,0.15184
74,2015,Indonesia,Southeastern Asia,5.399,0.82827,0.63793,1.08708,0.46611,0.51535,0.0
75,2015,Viet Nam,Southeastern Asia,5.36,0.63216,0.74676,0.91226,0.59444,0.1686,0.10441
76,2015,Turkey,Middle East and Northern Africa,5.332,1.06098,0.73172,0.94632,0.22815,0.12253,0.15746
77,2015,Kyrgyzstan,Central and Eastern Europe,5.286,0.47428,0.65088,1.15115,0.43477,0.3003,0.04232
78,2015,Nigeria,Sub-Saharan Africa,5.268,0.65435,0.16007,0.90432,0.34334,0.27233,0.0403
79,2015,Bhutan,Southern Asia,5.253,0.77042,0.57407,1.10395,0.53206,0.47998,0.15445
